count, interp , mean interp, normalize, mean norm, mva, mean mva, mva_inter, mean_mva_inter
1, 72.00, 72.00, 54.00, 54.00, 54.00, 54.00, 72.00, 72.00
2, 72.00, 72.00, 54.00, 54.00, 54.00, 54.00, 72.00, 72.00
3, 66.00, 70.00, 54.00, 54.00, 54.00, 54.00, 54.00, 66.00
4, 54.00, 66.00, 54.00, 54.00, 54.00, 54.00, 54.00, 63.00
5, 54.00, 63.60, 54.00, 54.00, 54.00, 54.00, 54.00, 61.20
6, 54.00, 62.00, 54.00, 54.00, 54.00, 54.00, 54.00, 60.00
7, 54.00, 60.86, 54.00, 54.00, 54.00, 54.00, 54.00, 59.14
8, 54.00, 60.00, 54.00, 54.00, 54.00, 54.00, 54.00, 58.50
9, 72.00, 61.33, 54.00, 54.00, 54.00, 54.00, 72.00, 60.00
10, 72.00, 62.40, 72.00, 55.80, 72.00, 55.80, 72.00, 61.20
11, 144.00, 69.82, 66.00, 56.73, 66.00, 56.73, 72.00, 62.18
12, 138.00, 75.50, 66.00, 57.50, 66.00, 57.50, 138.00, 68.50
13, 144.00, 80.77, 66.00, 58.15, 66.00, 58.15, 144.00, 74.31
14, 72.00, 80.14, 54.00, 57.86, 54.00, 57.86, 72.00, 74.14
15, 72.00, 79.60, 72.00, 58.80, 72.00, 58.80, 72.00, 74.00
16, 54.00, 78.00, 72.00, 59.62, 72.00, 59.62, 54.00, 72.75
17, 66.00, 77.29, 66.00, 60.00, 54.00, 59.29, 54.00, 71.65
18, 66.00, 76.67, 72.00, 60.67, 72.00, 60.00, 66.00, 71.33
19, 72.00, 76.42, 72.00, 61.26, 72.00, 60.63, 72.00, 71.37
20, 72.00, 76.20, 72.00, 61.80, 72.00, 61.20, 72.00, 71.40
21, 66.00, 75.71, 90.00, 63.14, 90.00, 62.57, 66.00, 71.14
22, 78.00, 75.82, 96.00, 64.64, 96.00, 64.09, 78.00, 71.45
23, 84.00, 76.17, 84.00, 65.48, 84.00, 64.96, 84.00, 72.00
24, 78.00, 76.25, 90.00, 66.50, 78.00, 65.50, 78.00, 72.25
25, 60.00, 75.60, 96.00, 67.68, 84.00, 66.24, 60.00, 71.76
26, 60.00, 75.00, 90.00, 68.54, 90.00, 67.15, 60.00, 71.31
27, 60.00, 74.44, 78.00, 68.89, 72.00, 67.33, 60.00, 70.89
28, 60.00, 73.93, 60.00, 68.57, 60.00, 67.07, 60.00, 70.50
29, 90.00, 74.48, 90.00, 69.31, 60.00, 66.83, 90.00, 71.17
30, 120.00, 76.00, 114.00, 70.80, 126.00, 68.80, 120.00, 72.80
